Written on ->2/18/2016 9:07:40 AM	Broker 1 	 Retail 	 24 	 6
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 140 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 140 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -2 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 140 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -2 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 73 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 140 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 73 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 73 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -3 	 38
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 71 	 39
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 71 	 39
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 71 	 39
